affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
205885097;symbol technologies;Symbol Technologies;symbol technologies;;;
206926436;national league for nursing;National League for Nursing;national league for nursing;;;
212038754;siliconware precision industries company ltd;Siliconware Precision Industries Company, Ltd.;siliconware precision industries company, ltd.;;;
217913027;flamel technologies;Flamel Technologies;flamel technologies;;;
224382143;the explorers club;The Explorers Club;the explorers club;;;
249221365;kwangju health college;Kwangju Health College;kwangju health college;;;
875293437;riu hotels;RIU Hotels;riu hotels;;;
877506347;abertay university;Abertay University;abertay university;;;
900338111;alagappa government arts college;Alagappa Government Arts College;alagappa government arts college;;;
1280640908;the nature conservancy;The Nature Conservancy;the nature conservancy;;;
1286141780;library and archives canada;Library and Archives Canada;library and archives canada;;;
1295121038;leeds general infirmary;Leeds General Infirmary;leeds general infirmary;;;
1295960279;jasco applied sciences;JASCO Applied Sciences;jasco applied sciences;;;
1296611117;indian grassland and fodder research institute;Indian Grassland and Fodder Research Institute;indian grassland and fodder research institute;;;
1301400270;michigan molecular institute;Michigan Molecular Institute;michigan molecular institute;;;
1305322584;queensland environmental protection agency;Queensland Environmental Protection Agency;queensland environmental protection agency;;;
1308928477;equal opportunities commission;Equal Opportunities Commission;equal opportunities commission;;;
1312504184;genomatix;Genomatix;genomatix;;;
1314135232;nationwide children s hospital;Nationwide Children's Hospital;nationwide children's hospital;;;
1316424625;minaret of freedom institute;Minaret of Freedom Institute;minaret of freedom institute;;;
1317897188;children s institute inc;Children's Institute Inc.;children's institute inc.;;;
1321659569;european space operations centre;European Space Operations Centre;european space operations centre;;;
1322859765;guidewire software;Guidewire Software;guidewire software;;;
1327930874;apollo hospitals;Apollo Hospitals;apollo hospitals;;;
1336939341;kaiser family foundation;Kaiser Family Foundation;kaiser family foundation;;;
1342842691;sons of the american revolution;Sons of the American Revolution;sons of the american revolution;;;
2799665334;royal college of ophthalmologists;Royal College of Ophthalmologists;royal college of ophthalmologists;;;
2799709066;bangladesh academy of sciences;Bangladesh Academy of Sciences;bangladesh academy of sciences;;;
2799887075;calderdale royal hospital;Calderdale Royal Hospital;calderdale royal hospital;;;
2800068374;rocky mountain college of art and design;Rocky Mountain College of Art and Design;rocky mountain college of art and design;;;
2800085125;mornington peninsula shire;Mornington Peninsula Shire;mornington peninsula shire;;;
2800096870;staatliche akademie der bildenden kunste stuttgart;Staatliche Akademie der Bildenden Künste Stuttgart;staatliche akademie der bildenden kunste stuttgart;;;
2800271471;society for endocrinology;Society for Endocrinology;society for endocrinology;;;
2800447175;arizona historical society;Arizona Historical Society;arizona historical society;;;
2800649613;university of missouri health system;University of Missouri Health System;university of missouri health system;;;
2800713431;saint vincent hospital;Saint Vincent Hospital;saint vincent hospital;;;
2800878267;american heart institute;American Heart Institute;american heart institute;;;
2801038763;henry cogswell college;Henry Cogswell College;henry cogswell college;;;
2801087145;coventry city council;Coventry City Council;coventry city council;;;
2801092184;central water and power research station;Central Water and Power Research Station;central water and power research station;;;
2801168572;washington state department of early learning;Washington State Department of Early Learning;washington state department of early learning;;;
2801225050;bronglais general hospital;Bronglais General Hospital;bronglais general hospital;;;
2801260349;gateway community and technical college;Gateway Community and Technical College;gateway community and technical college;;;
2801322200;beebe healthcare;Beebe Healthcare;beebe healthcare;;;
2801418629;new york state office of parks recreation and historic preservation;New York State Office of Parks, Recreation and Historic Preservation;new york state office of parks, recreation and historic preservation;;;
2801737446;supreme council of antiquities;Supreme Council of Antiquities;supreme council of antiquities;;;
2801750073;centenary college of new jersey;Centenary College of New Jersey;centenary college of new jersey;;;
2801803865;tanana chiefs conference;Tanana Chiefs Conference;tanana chiefs conference;;;
2801979358;wesley biblical seminary;Wesley Biblical Seminary;wesley biblical seminary;;;
2801983610;digital public library of america;Digital Public Library of America;digital public library of america;;;
2802043524;university of somalia;University of Somalia;university of somalia;;;
2802052008;bethany university;Bethany University;bethany university;;;
2802126911;von roll switzerland;Von Roll (Switzerland);von roll (switzerland);;;
2802217488;north carolina department of agriculture and consumer services;North Carolina Department of Agriculture and Consumer Services;north carolina department of agriculture and consumer services;;;
2802250515;anti corruption and civil rights commission;Anti Corruption and Civil Rights Commission;anti corruption and civil rights commission;;;
