affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
134493880;instituto biologico;Instituto Biológico;instituto biologico;;;
137428128;franklin w olin college of engineering;Franklin W. Olin College of Engineering;franklin w. olin college of engineering;;;
138564716;prince mohammad bin fahd university;Prince Mohammad bin Fahd University;prince mohammad bin fahd university;;;
145468249;regional information center for science and technology;Regional Information Center for Science and Technology;regional information center for science and technology;;;
154100641;calhoun community college;Calhoun Community College;calhoun community college;;;
155707491;haverford college;Haverford College;haverford college;;;
158743462;seoul national university of education;Seoul National University of Education;seoul national university of education;;;
158929114;tokyo medical university;Tokyo Medical University;tokyo medical university;;;
167261309;royal botanic garden edinburgh;Royal Botanic Garden Edinburgh;royal botanic garden edinburgh;;;
172622728;university hospitals of morecambe bay nhs foundation trust;University Hospitals of Morecambe Bay NHS Foundation Trust;university hospitals of morecambe bay nhs foundation trust;;;
174442536;south central university for nationalities;South Central University for Nationalities;south central university for nationalities;;;
177233841;vietnam national university hanoi;Vietnam National University, Hanoi;vietnam national university, hanoi;;;
177551073;logicvision;LogicVision;logicvision;;;
186246823;university of lucknow;University of Lucknow;university of lucknow;;;
195226572;pranveer singh institute of technology;Pranveer Singh Institute of Technology;pranveer singh institute of technology;;;
197932274;shawnee state university;Shawnee State University;shawnee state university;;;
204881574;university of pavol jozef safarik;University of Pavol Jozef Šafárik;university of pavol jozef safarik;;;
256091534;gentex corporation;Gentex Corporation;gentex corporation;;;
343503978;central university of bihar;Central University of Bihar;central university of bihar;;;
839966561;lone star college system;Lone Star College System;lone star college system;;;
871049931;wills eye institute;Wills Eye Institute;wills eye institute;;;
884426937;first republic bank corporation;First Republic Bank Corporation;first republic bank corporation;;;
899256948;fruit of islam;Fruit of Islam;fruit of islam;;;
1045480456;russneft;Russneft;russneft;;;
1285433949;albert einstein institution;Albert Einstein Institution;albert einstein institution;;;
1291012402;indian ministry of environment and forests;Indian Ministry of Environment and Forests;indian ministry of environment and forests;;;
1292497403;john d and catherine t macarthur foundation;John D. and Catherine T. MacArthur Foundation;john d. and catherine t. macarthur foundation;;;
1293809753;faculty of medicine and pharmacy of rabat;Faculty of Medicine and Pharmacy of Rabat;faculty of medicine and pharmacy of rabat;;;
1302269238;academy of sciences of uzbekistan;Academy of Sciences of Uzbekistan;academy of sciences of uzbekistan;;;
1310196090;united states department of justice antitrust division;United States Department of Justice Antitrust Division;united states department of justice antitrust division;;;
1312445953;tea board of india;Tea Board of India;tea board of india;;;
1312996466;safdarjang hospital;Safdarjang Hospital;safdarjang hospital;;;
1317906550;aichi prefectural college of nursing health;Aichi Prefectural College of Nursing & Health;aichi prefectural college of nursing & health;;;
1320321709;national rifle association;National Rifle Association;national rifle association;;;
1328943360;saint petersburg academic university;Saint Petersburg Academic University;saint petersburg academic university;;;
1329527541;southwest general health center;Southwest General Health Center;southwest general health center;;;
1331084196;gujarat forensic sciences university;Gujarat Forensic Sciences University;gujarat forensic sciences university;;;
1332860046;central statistical office;Central Statistical Office;central statistical office;;;
2799304457;estonian history museum;Estonian History Museum;estonian history museum;;;
2799523603;bon secours hospital tralee;Bon Secours Hospital Tralee;bon secours hospital tralee;;;
2799594168;montserrat volcano observatory;Montserrat Volcano Observatory;montserrat volcano observatory;;;
2799785105;iceland academy of the arts;Iceland Academy of the Arts;iceland academy of the arts;;;
2799873615;african institute of science and technology;African Institute of Science and Technology;african institute of science and technology;;;
2799941125;royal dublin society;Royal Dublin Society;royal dublin society;;;
2800277717;columbia bible college;Columbia Bible College;columbia bible college;;;
2800351711;osaka christian college;Osaka Christian College;osaka christian college;;;
2800644709;quirino state university;Quirino State University;quirino state university;;;
2800793124;meiwa gakuen junior college;Meiwa Gakuen Junior College;meiwa gakuen junior college;;;
2800926667;cairns hospital;Cairns Hospital;cairns hospital;;;
2801368622;sesame workshop;Sesame Workshop;sesame workshop;;;
2801487222;w alton jones cell science center;W. Alton Jones Cell Science Center;w. alton jones cell science center;;;
2801543288;lemuel shattuck hospital;Lemuel Shattuck Hospital;lemuel shattuck hospital;;;
2801611297;tohto college of health sciences;Tohto College of Health Sciences;tohto college of health sciences;;;
2802019066;federal ministry of agriculture and rural development;Federal Ministry of Agriculture and Rural Development;federal ministry of agriculture and rural development;;;
2802279035;american dental hygienists association;American Dental Hygienists' Association;american dental hygienists' association;;;
2802333474;rocky mountain biological laboratory;Rocky Mountain Biological Laboratory;rocky mountain biological laboratory;;;
2802590820;bath royal literary and scientific institution;Bath Royal Literary and Scientific Institution;bath royal literary and scientific institution;;;
2802601399;guardia civil;Guardia Civil;guardia civil;;;
2803035357;standing committee of european doctors;Standing Committee of European Doctors;standing committee of european doctors;;;
2803036750;office of public health genomics;Office of Public Health Genomics;office of public health genomics;;;
5936373;university of montenegro;University of Montenegro;university of montenegro;;;
12614544;airservices australia;Airservices Australia;airservices australia;;;
16371252;universidade de passo fundo;Universidade de Passo Fundo;universidade de passo fundo;;;
17784594;austin community college district;Austin Community College District;austin community college district;;;
22040003;tsuyama national college of technology;Tsuyama National College of Technology;tsuyama national college of technology;;;
28777237;oki electric industry;Oki Electric Industry;oki electric industry;;;
39505071;southern baptist theological seminary;Southern Baptist Theological Seminary;southern baptist theological seminary;;;
42852656;shenyang university;Shenyang University;shenyang university;;;
48281506;international seismological centre;International Seismological Centre;international seismological centre;;;
51036467;reckitt benckiser;Reckitt Benckiser;reckitt benckiser;;;
51955386;technological educational institute of larissa;Technological Educational Institute of Larissa;technological educational institute of larissa;;;
53150968;ismett;ISMETT;ismett;;;
55712492;zhejiang university of technology;Zhejiang University of Technology;zhejiang university of technology;Zhejiang University of Technology;China;
59807684;akaki tsereteli state university;Akaki Tsereteli State University;akaki tsereteli state university;;;
60065076;pacific lutheran university;Pacific Lutheran University;pacific lutheran university;;;
70922119;al ameen college of pharmacy;Al-Ameen College of Pharmacy;al-ameen college of pharmacy;;;
72375662;osaka institute of technology;Osaka Institute of Technology;osaka institute of technology;;;
88491126;bucharest university of economic studies;Bucharest University of Economic Studies;bucharest university of economic studies;;;
90237989;osaka university of pharmaceutical sciences;Osaka University of Pharmaceutical Sciences;osaka university of pharmaceutical sciences;;;
91080651;international centre for genetic engineering and biotechnology;International Centre for Genetic Engineering and Biotechnology;international centre for genetic engineering and biotechnology;;;
94722563;university of jyvaskyla;University of Jyväskylä;university of jyvaskyla;University of Jyväskylä;Finland;
99296679;sirte university;Sirte University;sirte university;;;
99714305;silliman university;Silliman University;silliman university;;;
103585767;niagara county community college;Niagara County Community College;niagara county community college;;;
113686770;western institute of technology and higher education;Western Institute of Technology and Higher Education;western institute of technology and higher education;;;
126460647;fundacao universidade federal do rio grande;Fundação Universidade Federal do Rio Grande;fundacao universidade federal do rio grande;;;
129031382;ge lighting;GE Lighting;ge lighting;;;
130198913;jaguar land rover;Jaguar Land Rover;jaguar land rover;;;
134161618;national taiwan normal university;National Taiwan Normal University;national taiwan normal university;National Taiwan Normal University;Taiwan;
149758196;chimie paristech;Chimie ParisTech;chimie paristech;;;
157591606;university of malawi;University of Malawi;university of malawi;;;
161222507;open university of china;Open University of China;open university of china;;;
166972335;kenyon college;Kenyon College;kenyon college;;;
173434221;harare institute of technology;Harare Institute of Technology;harare institute of technology;;;
175562750;simpson gumpertz heger inc;Simpson Gumpertz & Heger Inc.;simpson gumpertz & heger inc.;;;
181105335;lithuanian university of educational sciences;Lithuanian University of Educational Sciences;lithuanian university of educational sciences;;;
181877577;shanxi university;Shanxi University;shanxi university;Shanxi University;China;
184824882;k s rangasamy college of technology;K. S. Rangasamy College of Technology;k. s. rangasamy college of technology;;;
188524465;university of selangor;University of Selangor;university of selangor;;;
195444995;aichi gakuin university;Aichi Gakuin University;aichi gakuin university;;;
195931504;egerton university;Egerton University;egerton university;;;
197809005;seconda universita degli studi di napoli;Seconda Università degli Studi di Napoli;seconda universita degli studi di napoli;;;
199702508;al jouf university;Al Jouf University;al jouf university;;;
199736988;komarov botanical institute;Komarov Botanical Institute;komarov botanical institute;;;
200561399;university of kota;University of Kota;university of kota;;;
202050874;tamil nadu pollution control board;Tamil Nadu Pollution Control Board;tamil nadu pollution control board;;;
206578319;southern company;Southern Company;southern company;;;
261522943;bombardier recreational products;Bombardier Recreational Products;bombardier recreational products;;;
287267523;cefam;CEFAM;cefam;;;
294094635;mordovian state university;Mordovian State University;mordovian state university;;;
327296593;secretaria da receita federal do brasil;Secretaria da Receita Federal do Brasil;secretaria da receita federal do brasil;;;
891191580;aalborg university;Aalborg University;aalborg university;Aalborg University;Denmark;
933276082;cleveland institute of music;Cleveland Institute of Music;cleveland institute of music;;;
1283716930;omaha children s museum;Omaha Children's Museum;omaha children's museum;;;
1289912481;agricultural and food research council;Agricultural and Food Research Council;agricultural and food research council;;;
1295232881;dutch ministry of justice;Dutch Ministry of Justice;dutch ministry of justice;;;
1295929820;yamaha corporation;Yamaha Corporation;yamaha corporation;;;
1300086047;mauritius commercial bank;Mauritius Commercial Bank;mauritius commercial bank;;;
1302486900;community service society of new york;Community Service Society of New York;community service society of new york;;;
1307855090;indian institute of natural resins and gums;Indian Institute of Natural Resins and Gums;indian institute of natural resins and gums;;;
1312422046;washington department of natural resources;Washington Department of Natural Resources;washington department of natural resources;;;
1316351202;european railway agency;European Railway Agency;european railway agency;;;
1328980842;burmese ministry of commerce;Burmese Ministry of Commerce;burmese ministry of commerce;;;
1335321130;children s hospital of philadelphia;Children's Hospital of Philadelphia;children's hospital of philadelphia;;;
1336379959;mahindra mahindra;Mahindra & Mahindra;mahindra & mahindra;;;
1342422420;czech statistical office;Czech Statistical Office;czech statistical office;;;
2251594505;taobao;Taobao;taobao;;;
2799375263;lakeshore technical college;Lakeshore Technical College;lakeshore technical college;;;
2799443294;breast cancer alliance;Breast Cancer Alliance;breast cancer alliance;;;
2799489306;rabbinical college of america;Rabbinical College of America;rabbinical college of america;;;
2799520015;arlington memorial hospital;Arlington Memorial Hospital;arlington memorial hospital;;;
2799523558;western nebraska community college;Western Nebraska Community College;western nebraska community college;;;
2799850030;porter adventist hospital;Porter Adventist Hospital;porter adventist hospital;;;
2799894561;yamaguchi gakugei university;Yamaguchi Gakugei University;yamaguchi gakugei university;;;
2800080935;st lawrence hospital;St Lawrence Hospital;st lawrence hospital;;;
2800194764;american institute of architecture students;American Institute of Architecture Students;american institute of architecture students;;;
2800723015;north warwickshire and hinckley college;North Warwickshire and Hinckley College;north warwickshire and hinckley college;;;
2800753926;kingston general hospital;Kingston General Hospital;kingston general hospital;;;
2800800851;alaska department of natural resources;Alaska Department of Natural Resources;alaska department of natural resources;;;
2800824516;singapore immunology network;Singapore Immunology Network;singapore immunology network;;;
2801067519;granite state college;Granite State College;granite state college;;;
2801246969;fort bend county libraries;Fort Bend County Libraries;fort bend county libraries;;;
2801255774;king fahd university hospital;King Fahd University Hospital;king fahd university hospital;;;
2801628138;frankfurt institute for advanced studies;Frankfurt Institute for Advanced Studies;frankfurt institute for advanced studies;;;
2801767026;nordic semiconductor norway;Nordic Semiconductor (Norway);nordic semiconductor (norway);;;
2801907474;southwestern educational society;Southwestern Educational Society;southwestern educational society;;;
2801996072;lds hospital;LDS Hospital;lds hospital;;;
2802009788;twin cities public television;Twin Cities Public Television;twin cities public television;;;
2802091893;olympic college;Olympic College;olympic college;;;
2802247742;meridian international center;Meridian International Center;meridian international center;;;
2802345344;central penn college;Central Penn College;central penn college;;;
2802396769;charles stewart mott foundation;Charles Stewart Mott Foundation;charles stewart mott foundation;;;
2802730375;african center for economic transformation;African Center for Economic Transformation;african center for economic transformation;;;
2802793601;china conservatory;China Conservatory;china conservatory;;;
2802973921;federal department of economic affairs education and research;Federal Department of Economic Affairs Education and Research;federal department of economic affairs education and research;;;
1355163;sinai university;Sinai University;sinai university;;;
4922082;research institute of petroleum industry;Research Institute of Petroleum Industry;research institute of petroleum industry;;;
9400273;timken company;Timken Company;timken company;;;
17353258;b m s college of engineering;B.M.S. College of Engineering;b.m.s. college of engineering;;;
20121455;bielefeld university;Bielefeld University;bielefeld university;Bielefeld University;Germany;
24033465;union camp corporation;Union Camp Corporation;union camp corporation;;;
24262253;fuji heavy industries;Fuji Heavy Industries;fuji heavy industries;;;
29003387;osaka women s junior college;Osaka Women's Junior College;osaka women's junior college;;;
29199639;hanoi university of mining and geology;Hanoi University of Mining and Geology;hanoi university of mining and geology;;;
36053171;california state university chico;California State University, Chico;california state university, chico;;;
42102869;rusk institute of rehabilitation medicine;Rusk Institute of Rehabilitation Medicine;rusk institute of rehabilitation medicine;;;
45204951;university of calabria;University of Calabria;university of calabria;University of Calabria;Italy;
47099075;hydro quebec;Hydro-Québec;hydro-quebec;;;
53141925;kapteyn astronomical institute;Kapteyn Astronomical Institute;kapteyn astronomical institute;;;
53497360;bank of uganda;Bank of Uganda;bank of uganda;;;
74859420;lakeland community college;Lakeland Community College;lakeland community college;;;
75384278;klein associates;Klein Associates;klein associates;;;
76308706;microchip technology;Microchip Technology;microchip technology;;;
77541275;central rice research institute;Central Rice Research Institute;central rice research institute;;;
79946792;mugla university;Muğla University;mugla university;;;
84401495;odessa national maritime academy;Odessa National Maritime Academy;odessa national maritime academy;;;
89178830;national kaohsiung university of applied sciences;National Kaohsiung University of Applied Sciences;national kaohsiung university of applied sciences;;;
95858998;hungkuang university;Hungkuang University;hungkuang university;;;
102507086;oregon national primate research center;Oregon National Primate Research Center;oregon national primate research center;;;
103233364;steer davies gleave;Steer Davies Gleave;steer davies gleave;;;
105292261;ministry of health;Ministry of Health (Malaysia);ministry of health (malaysia);;;
110017253;francois rabelais university;François Rabelais University;francois rabelais university;;;
126976195;rwe npower;RWE npower;rwe npower;;;
133567742;gojan school of business and technology;Gojan School of Business and Technology;gojan school of business and technology;;;
137805890;instituto superior de agronomia;Instituto Superior de Agronomia;instituto superior de agronomia;;;
149766970;maharashtra university of health sciences;Maharashtra University of Health Sciences;maharashtra university of health sciences;;;
164466728;united nations economic commission for africa;United Nations Economic Commission for Africa;united nations economic commission for africa;;;
166993812;international aids society;International AIDS Society;international aids society;;;
168959743;university of america;University of America;university of america;;;
176953057;albertus magnus college;Albertus Magnus College;albertus magnus college;;;
177453986;marine science institute;Marine Science Institute;marine science institute;;;
183146814;rhode island school of design;Rhode Island School of Design;rhode island school of design;;;
197323543;university of mainz;University of Mainz;university of mainz;;;
197518295;institute for the study of labor;Institute for the Study of Labor;institute for the study of labor;;;
198308326;national institute for social work;National Institute for Social Work;national institute for social work;;;
205156485;rohde schwarz;Rohde & Schwarz;rohde & schwarz;;;
245377948;elizabethtown community and technical college;Elizabethtown Community and Technical College;elizabethtown community and technical college;;;
269276261;hajvery university;Hajvery University;hajvery university;;;
288496929;narayana health;Narayana Health;narayana health;;;
302974498;canadian auto workers;Canadian Auto Workers;canadian auto workers;;;
305407034;patuakhali science and technology university;Patuakhali Science and Technology University;patuakhali science and technology university;;;
862801819;united states army space and missile defense command;United States Army Space and Missile Defense Command;united states army space and missile defense command;;;
865725288;tutor com;Tutor.com;tutor.com;;;
894372087;olabisi onabanjo university;Olabisi Onabanjo University;olabisi onabanjo university;;;
904495901;ruhr university bochum;Ruhr University Bochum;ruhr university bochum;;;
1285933455;german national metrology institute;German National Metrology Institute;german national metrology institute;;;
1311179570;kansas corporation commission;Kansas Corporation Commission;kansas corporation commission;;;
1312732213;the coca cola company;The Coca-Cola Company;the coca-cola company;;;
1318116459;national marrow donor program;National Marrow Donor Program;national marrow donor program;;;
1320684560;service employees international union;Service Employees International Union;service employees international union;;;
1328951515;oregon department of geology and mineral industries;Oregon Department of Geology and Mineral Industries;oregon department of geology and mineral industries;;;
1334415907;university medical center groningen;University Medical Center Groningen;university medical center groningen;;;
1338552037;architect of the capitol;Architect of the Capitol;architect of the capitol;;;
1342692935;ordnance survey;Ordnance Survey;ordnance survey;;;
2799535320;catholic university of the maule;Catholic University of the Maule;catholic university of the maule;;;
2799573708;west cumberland hospital;West Cumberland Hospital;west cumberland hospital;;;
2799853480;schloss dagstuhl leibniz center for informatics;Schloss Dagstuhl – Leibniz Center for Informatics;schloss dagstuhl - leibniz center for informatics;;;
2799893378;nazareth hospital emms;Nazareth Hospital EMMS;nazareth hospital emms;;;
2799939188;historic england;Historic England;historic england;;;
2799953214;emschergenossenschaft;Emschergenossenschaft;emschergenossenschaft;;;
2799975047;pitt community college;Pitt Community College;pitt community college;;;
2800147912;nuclear energy agency;Nuclear Energy Agency;nuclear energy agency;;;
2800310992;rutland regional medical center;Rutland Regional Medical Center;rutland regional medical center;;;
2800498130;scottish natural heritage;Scottish Natural Heritage;scottish natural heritage;;;
2800729945;american college of physician executives;American College of Physician Executives;american college of physician executives;;;
2801043750;bacharach institute for rehabilitation;Bacharach Institute for Rehabilitation;bacharach institute for rehabilitation;;;
2801047068;university health system;University Health System;university health system;;;
2801429410;codarts rotterdam;Codarts Rotterdam;codarts rotterdam;;;
2801538329;deutsches schiffahrtsmuseum;Deutsches Schiffahrtsmuseum;deutsches schiffahrtsmuseum;;;
2801822491;istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche;Istituto Centrale per il Catalogo Unico Delle Biblioteche Italiane e per le Informazioni Bibliografiche;istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche;;;
2801910724;american indian science and engineering society;American Indian Science and Engineering Society;american indian science and engineering society;;;
2802091860;virginia department of agriculture and consumer services;Virginia Department of Agriculture and Consumer Services;virginia department of agriculture and consumer services;;;
2802279008;biodiversity information standards;Biodiversity Information Standards;biodiversity information standards;;;
2802459557;kowloon hospital;Kowloon Hospital;kowloon hospital;;;
2802521553;birmingham museum of art;Birmingham Museum of Art;birmingham museum of art;;;
2802640282;central ohio technical college;Central Ohio Technical College;central ohio technical college;;;
2802833878;shetland islands council;Shetland Islands Council;shetland islands council;;;
2803004286;taipei veterans general hospital;Taipei Veterans General Hospital;taipei veterans general hospital;;;
2803050950;danish ministry of defence;Danish Ministry of Defence;danish ministry of defence;;;
2856010038;life sciences research foundation;Life Sciences Research Foundation;life sciences research foundation;;;
2889748465;lakes college;Lakes College;lakes college;;;
2900628790;bridgevalley community and technical college;BridgeValley Community and Technical College;bridgevalley community and technical college;;;
5950314;university of west georgia;University of West Georgia;university of west georgia;;;
11865174;national institute of aeronautics and space;National Institute of Aeronautics and Space;national institute of aeronautics and space;;;
13567498;orissa university of agriculture and technology;Orissa University of Agriculture and Technology;orissa university of agriculture and technology;;;
14197495;mbda;MBDA;mbda;;;
16698461;vdo;VDO;vdo;;;
16767117;guru nanak khalsa college;Guru Nanak Khalsa College;guru nanak khalsa college;;;
16839680;energy resources conservation board;Energy Resources Conservation Board;energy resources conservation board;;;
19908199;national center for supercomputing applications;National Center for Supercomputing Applications;national center for supercomputing applications;;;
19970341;university of sudbury;University of Sudbury;university of sudbury;;;
24534823;california graduate institute;California Graduate Institute;california graduate institute;;;
33213144;university of florida;University of Florida;university of florida;University of Florida;United States;
41910991;national universities commission;National Universities Commission;national universities commission;;;
42095658;central scientific instruments organisation;Central Scientific Instruments Organisation;central scientific instruments organisation;;;
46063848;madras christian college;Madras Christian College;madras christian college;;;
49140892;assemblies of god theological seminary;Assemblies of God Theological Seminary;assemblies of god theological seminary;;;
56967629;santos;Santos;santos;;;
57615478;mahle gmbh;Mahle GmbH;mahle gmbh;;;
59433898;brunel university london;Brunel University London;brunel university london;Brunel University London;United Kingdom;
60236909;st anthony s college shillong;St. Anthony's College, Shillong;st. anthony's college, shillong;;;
62921916;universidade federal rural de pernambuco;Universidade Federal Rural de Pernambuco;universidade federal rural de pernambuco;;;
63591152;college of the mainland;College of the Mainland;college of the mainland;;;
63885303;ruskin college;Ruskin College;ruskin college;;;
64445930;cincinnati state technical and community college;Cincinnati State Technical and Community College;cincinnati state technical and community college;;;
65446980;national chin yi university of technology;National Chin-Yi University of Technology;national chin-yi university of technology;;;
70374766;university of aden;University of Aden;university of aden;;;
71001175;national oilwell varco;National Oilwell Varco;national oilwell varco;;;
73094659;culver stockton college;Culver–Stockton College;culver-stockton college;;;
78801874;phoenix contact;Phoenix Contact;phoenix contact;;;
85777006;haynes international;Haynes International;haynes international;;;
94611258;hebei normal university;Hebei Normal University;hebei normal university;;;
96195549;bank of montreal;Bank of Montreal;bank of montreal;;;
96408169;azusa pacific university;Azusa Pacific University;azusa pacific university;;;
100524104;canberra university college;Canberra University College;canberra university college;;;
104778171;american association of colleges for teacher education;American Association of Colleges for Teacher Education;american association of colleges for teacher education;;;
107947710;panacea biotec;Panacea Biotec;panacea biotec;;;
111584856;open universities australia;Open Universities Australia;open universities australia;;;
112181202;university of duisburg;University of Duisburg;university of duisburg;;;
112487924;kennan institute;Kennan Institute;kennan institute;;;
115564971;land o lakes;Land O'Lakes;land o'lakes;;;
119942284;missouri state university;Missouri State University;missouri state university;;;
121880028;ogx;OGX;ogx;;;
130923123;institute of the estonian language;Institute of the Estonian Language;institute of the estonian language;;;
132400726;university of nagasaki;University of Nagasaki;university of nagasaki;;;
137009854;los angeles department of water and power;Los Angeles Department of Water and Power;los angeles department of water and power;;;
148805310;stockholm school of economics in riga;Stockholm School of Economics in Riga;stockholm school of economics in riga;;;
148966907;toyota motor engineering manufacturing north america;Toyota Motor Engineering & Manufacturing North America;toyota motor engineering & manufacturing north america;;;
161203489;youngstown state university;Youngstown State University;youngstown state university;;;
165682329;guru nanak dev university;Guru Nanak Dev University;guru nanak dev university;Guru Nanak Dev University;India;
166182418;medical university of silesia;Medical University of Silesia;medical university of silesia;Medical University of Silesia;Poland;
170532803;millsaps college;Millsaps College;millsaps college;;;
173288447;grinnell college;Grinnell College;grinnell college;;;
175339597;hobart corporation;Hobart Corporation;hobart corporation;;;
176010741;indian institute of forest management;Indian Institute of Forest Management;indian institute of forest management;;;
176884743;fatima jinnah medical college;Fatima Jinnah Medical College;fatima jinnah medical college;;;
184597095;national institute of informatics;National Institute of Informatics;national institute of informatics;;;
189350637;francis marion university;Francis Marion University;francis marion university;;;
194343955;pertamina;Pertamina;pertamina;;;
198073862;union presbyterian seminary;Union Presbyterian Seminary;union presbyterian seminary;;;
206294804;pacific tsunami warning center;Pacific Tsunami Warning Center;pacific tsunami warning center;;;
278789600;colorado parks and wildlife;Colorado Parks and Wildlife;colorado parks and wildlife;;;
297007282;saint thomas aquinas university of the north;Saint Thomas Aquinas University of the North;saint thomas aquinas university of the north;;;
303335666;intercall;InterCall;intercall;;;
315174041;aea technology;AEA Technology;aea technology;;;
336648214;interregional academy of personnel management;Interregional Academy of Personnel Management;interregional academy of personnel management;;;
354071399;mindanao state university;Mindanao State University;mindanao state university;;;
859753955;nalanda;Nalanda;nalanda;;;
860184259;escola de comunicacoes e artes;Escola de Comunicações e Artes;escola de comunicacoes e artes;;;
882185564;united world colleges;United World Colleges;united world colleges;;;
898178802;national petroleum technology office;National Petroleum Technology Office;national petroleum technology office;;;
923628779;east bay municipal utility district;East Bay Municipal Utility District;east bay municipal utility district;;;
1289099301;santa barbara police department;Santa Barbara Police Department;santa barbara police department;;;
1291822081;grumman aircraft corporation;Grumman Aircraft Corporation;grumman aircraft corporation;;;
1297934274;european medicines agency;European Medicines Agency;european medicines agency;;;
1308906816;symantec;Symantec;symantec;;;
1309625555;roush performance;Roush Performance;roush performance;;;
1319166135;swedish road administration;Swedish Road Administration;swedish road administration;;;
1334069289;carolinas healthcare system;Carolinas Healthcare System;carolinas healthcare system;;;
1337852284;texas medical center;Texas Medical Center;texas medical center;;;
1341215271;pesticides safety directorate;Pesticides Safety Directorate;pesticides safety directorate;;;
1342904200;oregon health authority;Oregon Health Authority;oregon health authority;;;
2751430930;royal society of chemistry;Royal Society of Chemistry;royal society of chemistry;;;
2799549554;malcolm x college;Malcolm X College;malcolm x college;;;
2800505568;santa casa hospital;Santa Casa Hospital;santa casa hospital;;;
2800555055;centre hospitalier universitaire de grenoble;Centre Hospitalier Universitaire de Grenoble;centre hospitalier universitaire de grenoble;;;
2801274509;union of the baltic cities;Union of the Baltic Cities;union of the baltic cities;;;
2801296886;naval academy research institute;Naval Academy Research Institute;naval academy research institute;;;
2801349156;university of haripur;University of Haripur;university of haripur;;;
2801510713;accion international;Accion International;accion international;;;
2801584083;woodend hospital;Woodend Hospital;woodend hospital;;;
2801713311;shriners hospitals for children galveston;Shriners Hospitals for Children - Galveston;shriners hospitals for children - galveston;;;
2801831609;aberdeen city council;Aberdeen City Council;aberdeen city council;;;
2801909701;global health corps;Global Health Corps;global health corps;;;
2802079417;west college scotland;West College Scotland;west college scotland;;;
2802133448;schizophrenia fellowship of new south wales;Schizophrenia Fellowship of New South Wales;schizophrenia fellowship of new south wales;;;
2802180725;lincoln park zoo;Lincoln Park Zoo;lincoln park zoo;;;
2802200617;misericordia community hospital;Misericordia Community Hospital;misericordia community hospital;;;
2802268981;information systems audit and control association;Information Systems Audit and Control Association;information systems audit and control association;;;
2802586841;cape breton development corporation;Cape Breton Development Corporation;cape breton development corporation;;;
2802885015;military technical academy;Military Technical Academy;military technical academy;;;
2877017324;southwest mississippi community college;Southwest Mississippi Community College;southwest mississippi community college;;;
10660446;kunming university of science and technology;Kunming University of Science and Technology;kunming university of science and technology;;;
12450925;nha trang university;Nha Trang University;nha trang university;;;
12758305;amit;AMIT;amit;;;
16736912;russian tajik slavonic university;Russian-Tajik Slavonic University;russian-tajik slavonic university;;;
18383954;mci inc;MCI Inc.;mci inc.;;;
18925743;shanghai university of sport;Shanghai University of Sport;shanghai university of sport;;;
19772626;yeshiva university;Yeshiva University;yeshiva university;Yeshiva University;United States;
21361538;nagasaki international university;Nagasaki International University;nagasaki international university;;;
23846521;atlantic institute;Atlantic Institute;atlantic institute;;;
28006308;shandong normal university;Shandong Normal University;shandong normal university;Shandong Normal University;China;
31351285;brazilian academy of sciences;Brazilian Academy of Sciences;brazilian academy of sciences;;;
32574673;shantou university;Shantou University;shantou university;Shantou University;China;
38119467;chr hansen;Chr. Hansen;chr. hansen;;;
45571689;moscow aviation institute;Moscow Aviation Institute;moscow aviation institute;;;
52207611;al baha university;Al Baha University;al baha university;;;
62266391;cinesite;Cinesite;cinesite;;;
62882189;government autonomous college rourkela;Government Autonomous College, Rourkela;government autonomous college, rourkela;;;
67527582;philadelphia fire department;Philadelphia Fire Department;philadelphia fire department;;;
77250616;fort valley state university;Fort Valley State University;fort valley state university;;;
79189158;university of castilla la mancha;University of Castilla–La Mancha;university of castilla-la mancha;University of Castilla-La Mancha;Spain;
89466785;minia university;Minia University;minia university;;;
90523175;bucerius law school;Bucerius Law School;bucerius law school;;;
96518964;shri sant gajanan maharaj college of engineering;Shri Sant Gajanan Maharaj College of Engineering;shri sant gajanan maharaj college of engineering;;;
98642627;saint petersburg state institute of technology;Saint Petersburg State Institute of Technology;saint petersburg state institute of technology;;;
102160568;national steel corporation;National Steel Corporation;national steel corporation;;;
110439268;shantilal shah engineering college;Shantilal Shah Engineering College;shantilal shah engineering college;;;
114030911;otsuka pharmaceutical;Otsuka Pharmaceutical;otsuka pharmaceutical;;;
121165721;otemon gakuin university;Otemon Gakuin University;otemon gakuin university;;;
121846364;jules stein eye institute;Jules Stein Eye Institute;jules stein eye institute;;;
124104796;the marine mammal center;The Marine Mammal Center;the marine mammal center;;;
125839683;beijing institute of technology;Beijing Institute of Technology;beijing institute of technology;Beijing Institute of Technology;China;
126425946;european university of brittany;European University of Brittany;european university of brittany;;;
127439422;indian institute of science education and research kolkata;Indian Institute of Science Education and Research, Kolkata;indian institute of science education and research, kolkata;;;
137675707;ypf;YPF;ypf;;;
139347817;united states postal service;United States Postal Service;united states postal service;;;
142078773;shenyang institute of automation;Shenyang Institute of Automation;shenyang institute of automation;;;
144307944;public private ventures;Public/Private Ventures;public/private ventures;;;
145179576;whitestein technologies;Whitestein Technologies;whitestein technologies;;;
