University;Country;university_normalized;matched;
University of Chemistry and Technology, Prague;Czech Republic;university of chemistry and technology, prague;TRUE;
University of Clermont Auvergne;France;university of clermont auvergne;TRUE;
University of Colorado, Boulder;United States;university of colorado, boulder;TRUE;
University of Colorado, Denver;United States;university of colorado, denver;TRUE;
University of Cordoba;Spain;university of cordoba;TRUE;
University of Georgia, Athens;United States;university of georgia, athens;TRUE;
University of Guilan;Iran;university of guilan;TRUE;
University of Hawaii, Manoa;United States;university of hawaii, manoa;TRUE;
University of Illinois, Chicago;United States;university of illinois, chicago;TRUE;
University of Illinois, Urbana-Champaign;United States;university of illinois, urbana-champaign;TRUE;
University of Maine, Orono;United States;university of maine, orono;TRUE;
University of Minnesota, Twin Cities;United States;university of minnesota, twin cities;TRUE;
University of Missouri, Columbia;United States;university of missouri, columbia;TRUE;
University of Missouri, Kansas City;United States;university of missouri, kansas city;TRUE;
University of Nebraska, Lincoln;United States;university of nebraska, lincoln;TRUE;
University of New England;Australia;university of new england;TRUE;
University of North Carolina, Chapel Hill;United States;university of north carolina, chapel hill;TRUE;
University of North Carolina, Charlotte;United States;university of north carolina, charlotte;TRUE;
University of North Carolina, Greensboro;United States;university of north carolina, greensboro;TRUE;
University of Padova;Italy;university of padova;TRUE;
University of Plymouth;United Kingdom;university of plymouth;TRUE;
University of Rennes 1;France;university of rennes 1;TRUE;
University of South Carolina, Columbia;United States;university of south carolina, columbia;TRUE;
University of South Florida, Tampa;United States;university of south florida, tampa;TRUE;
University of Tennessee, Knoxville;United States;university of tennessee, knoxville;TRUE;
University of Texas Medical Branch at Galveston;United States;university of texas medical branch at galveston;TRUE;
University of Texas Southwestern Medical Center at Dallas;United States;university of texas southwestern medical center at dallas;TRUE;
University of the Chinese Academy of Sciences;China;university of the chinese academy of sciences;FALSE;MAG only has the complete academy, but not a specific university
University of Tromsø - The Arctic University of Norway;Norway;university of tromso - the arctic university of norway;TRUE;
University of Ulster;United Kingdom;university of ulster;TRUE;
University of Washington, Seattle;United States;university of washington, seattle;TRUE;
University of Wisconsin, Madison;United States;university of wisconsin, madison;TRUE;
University of Wisconsin, Milwaukee;United States;university of wisconsin, milwaukee;TRUE;
University of Yazd;Iran;university of yazd;TRUE;
Vellore Institute of Technology;India;vellore institute of technology;TRUE;
Victoria University, Melbourne;Australia;victoria university, melbourne;TRUE;
Virginia Polytechnic Institute and State University;United States;virginia polytechnic institute and state university;TRUE;
Vrije Universiteit Amsterdam;Netherlands;vrije universiteit amsterdam;TRUE;
Wageningen University & Research;Netherlands;wageningen university & research;TRUE;
Wenzhou Medical University;China;wenzhou medical university;TRUE;
West Pomeranian University of Technology, Szczecin;Poland;west pomeranian university of technology, szczecin;TRUE;
Western Sydney University;Australia;western sydney university;TRUE;
Western University;Canada;western university;TRUE;
Wrocław University of Science and Technology;Poland;wroclaw university of science and technology;TRUE;
Xi'An University of Technology;China;xi'an university of technology;TRUE;
